PlantGroup,IslandCode,SiteCode,PlantGroupRank,PlantType,PlantSubType,Description,Attribute,Value,Unit,StartDate,EndDate,Schedule,Source,Consent,Notes
Mangahao,NI,MHO,1.10,Hydro,Hydro,Mangahao,Generating capacity,30.0000000000,MW,1924-11-01,9999-12-31,,ECNZ,,
Mangahao,NI,MHO,1.10,Hydro,Hydro,Mangahao,Plant factor,0.3952569170,cumecs/MW,1924-11-01,9999-12-31,,ECNZ,,
Matahina,NI,MAT,1.00,Reservoir,Run of river,Lake Matahina,Active storage capacity,6.9000000000,Mm3,1967-07-01,9999-12-31,,ECNZ,,
Matahina,NI,MAT,1.10,Hydro,Hydro,Matahina,Generating capacity,80.0000000000,MW,1967-07-01,9999-12-31,,ECNZ,,
Matahina,NI,MAT,1.10,Hydro,Hydro,Matahina,Plant factor,1.6806722690,cumecs/MW,1967-07-01,9999-12-31,,ECNZ,,
Tongariro,NI,RPO,1.10,Hydro,Hydro,Rangipo,Generating capacity,120.0000000000,MW,0001-01-01,9999-12-31,,Genesis,,"2 x 65MW units howver, hydraulic constrains restrict the station to 120 MW max"
Tongariro,NI,RPO,1.10,Hydro,Hydro,Rangipo,Plant factor,0.5102040820,cumecs/MW,0001-01-01,9999-12-31,,Genesis,,
Tongariro,NI,TKU,1.20,Hydro,Hydro,Tokaanu,Generating capacity,240.0000000000,MW,0001-01-01,9999-12-31,,Genesis,,
Tongariro,NI,TKU,1.20,Hydro,Hydro,Tokaanu,Plant factor,0.5714285710,cumecs/MW,0001-01-01,9999-12-31,,Genesis,,
Waikaremoana,NI,WKA,1.00,Reservoir,Run of river,Lake Waikaremoana,Active storage capacity,157.1000000000,Mm3,1948-01-01,1998-11-12,,Genesis,WP982030Mc,"Hawkes Bay Regional Council, 1998 / 580.29m to 583.29m. These constraints have been retrospectively applied back to plant commissioning as a placeholder."
Waikaremoana,NI,WKA,1.00,Reservoir,Run of river,Lake Waikaremoana,Active storage capacity,157.1000000000,Mm3,1998-11-13,2032-12-31,,Genesis,WP982030Mc,"Hawkes Bay Regional Council, 1998 / 580.29m to 583.29m"
Waikaremoana,NI,WKA,1.00,Reservoir,Run of river,Lake Waikaremoana,Consented contingent storage capacity,0E-10,Mm3,1948-01-01,1998-11-12,,Genesis,WP982030Mc,"Hawkes Bay Regional Council, 1998 / 580.29m to 583.29m. These constraints have been retrospectively applied back to plant commissioning as a placeholder."
Waikaremoana,NI,WKA,1.00,Reservoir,Run of river,Lake Waikaremoana,Consented contingent storage capacity,0E-10,Mm3,1998-11-13,2032-12-31,,Genesis,WP982030Mc,"Hawkes Bay Regional Council, 1998 / 580.29m to 583.29m"
Waikaremoana,NI,WKA,1.01,Hydro arc,Spill,Waikaremoana,Max siphon flow,44.0000000000,cumecs,1998-11-13,2032-12-31,,Genesis,,
Waikaremoana,NI,WKA,1.01,Hydro arc,Spill,Waikaremoana,Max spill flow,44.0000000000,cumecs,1998-11-13,2032-12-31,,Genesis,WP982001Ta,"Hawkes Bay Regional Council, 1998"
Waikaremoana,NI,KTW,1.10,Hydro,Hydro,Kaitawa,Generating capacity,36.0000000000,MW,1948-01-01,9999-12-31,,Genesis,,
Waikaremoana,NI,KTW,1.10,Hydro,Hydro,Kaitawa,Plant factor,0.9940000000,cumecs/MW,1948-01-01,9999-12-31,,Genesis,,
