Installed distributed generation trends

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20240907174344

Parameters
Date range,01 Sep 2013 - 31 Jul 2024
Region type,Regional council
Market segment,All ICPs
Capacity,All combined
Fuel type,Solar (all)

Month end,Region ID,Region name,Capacity,Fuel type,ICP count,ICP uptake rate (%),Total capacity installed (MW),Avg. capacity installed (kW),ICP count - new installations,Avg. capacity - new installations (kW)
31/08/2013,1,Northland,All combined,Solar (All),74,0.08642,0.239,3.228,51,3.388
31/08/2013,2,Auckland,All combined,Solar (All),192,0.03365,0.832,4.332,60,5.084
31/08/2013,3,Waikato,All combined,Solar (All),141,0.06558,0.556,3.944,60,3.590
31/08/2013,4,Bay of Plenty,All combined,Solar (All),133,0.10005,0.652,4.899,33,4.764
31/08/2013,5,Gisborne,All combined,Solar (All),6,0.03268,0.024,3.950,0,
31/08/2013,6,Hawke's Bay,All combined,Solar (All),50,0.06501,0.202,4.049,7,5.686
31/08/2013,7,Taranaki,All combined,Solar (All),40,0.06953,0.132,3.289,14,3.371
31/08/2013,8,Manawatu-Wanganui,All combined,Solar (All),54,0.04629,0.174,3.214,18,3.606
31/08/2013,9,Wellington,All combined,Solar (All),133,0.06137,0.456,3.428,49,3.367
31/08/2013,16,Tasman,All combined,Solar (All),68,0.29509,0.295,4.333,68,4.333
31/08/2013,17,Nelson,All combined,Solar (All),65,0.27668,0.277,4.264,40,4.917
31/08/2013,18,Marlborough,All combined,Solar (All),32,0.13080,0.178,5.572,4,16.025
31/08/2013,12,West Coast,All combined,Solar (All),9,0.05046,0.025,2.756,3,1.833
31/08/2013,13,Canterbury,All combined,Solar (All),307,0.11325,1.140,3.715,111,3.956
31/08/2013,14,Otago,All combined,Solar (All),106,0.09590,0.473,4.462,4,4.575
31/08/2013,15,Southland,All combined,Solar (All),26,0.05061,0.081,3.123,7,2.500
30/09/2013,1,Northland,All combined,Solar (All),80,0.09353,0.260,3.247,6,3.483
30/09/2013,2,Auckland,All combined,Solar (All),362,0.06342,1.381,3.814,156,3.209
30/09/2013,3,Waikato,All combined,Solar (All),147,0.06840,0.572,3.894,6,2.217
30/09/2013,4,Bay of Plenty,All combined,Solar (All),141,0.10605,0.686,4.867,8,4.325
30/09/2013,5,Gisborne,All combined,Solar (All),6,0.03274,0.024,3.950,0,
30/09/2013,6,Hawke's Bay,All combined,Solar (All),56,0.07285,0.225,4.016,6,3.733
30/09/2013,7,Taranaki,All combined,Solar (All),41,0.07131,0.136,3.307,1,4.000
30/09/2013,8,Manawatu-Wanganui,All combined,Solar (All),55,0.04721,0.176,3.197,1,2.300
30/09/2013,9,Wellington,All combined,Solar (All),145,0.06696,0.487,3.361,12,2.617
30/09/2013,16,Tasman,All combined,Solar (All),78,0.33856,0.334,4.285,10,3.954
30/09/2013,17,Nelson,All combined,Solar (All),68,0.28946,0.289,4.252,3,4.000
30/09/2013,18,Marlborough,All combined,Solar (All),33,0.13495,0.180,5.464,1,2.000
30/09/2013,12,West Coast,All combined,Solar (All),9,0.05048,0.025,2.756,0,
30/09/2013,13,Canterbury,All combined,Solar (All),327,0.12071,1.208,3.695,22,3.241
30/09/2013,14,Otago,All combined,Solar (All),110,0.09948,0.485,4.409,4,3.000
30/09/2013,15,Southland,All combined,Solar (All),26,0.05063,0.081,3.123,0,
31/10/2013,1,Northland,All combined,Solar (All),82,0.09591,0.267,3.253,2,3.500
31/10/2013,2,Auckland,All combined,Solar (All),432,0.07563,1.510,3.495,70,2.638
31/10/2013,3,Waikato,All combined,Solar (All),154,0.07164,0.598,3.883,7,3.657
31/10/2013,4,Bay of Plenty,All combined,Solar (All),153,0.11510,0.720,4.705,12,2.808
31/10/2013,5,Gisborne,All combined,Solar (All),6,0.03278,0.024,3.950,0,
31/10/2013,6,Hawke's Bay,All combined,Solar (All),62,0.08072,0.250,4.030,6,4.167
31/10/2013,7,Taranaki,All combined,Solar (All),46,0.08004,0.151,3.273,5,3.000
31/10/2013,8,Manawatu-Wanganui,All combined,Solar (All),63,0.05412,0.204,3.245,7,3.371
31/10/2013,9,Wellington,All combined,Solar (All),158,0.07297,0.534,3.382,13,3.315
31/10/2013,16,Tasman,All combined,Solar (All),88,0.38176,0.390,4.427,10,5.536
31/10/2013,17,Nelson,All combined,Solar (All),70,0.29813,0.295,4.220,2,3.150
31/10/2013,18,Marlborough,All combined,Solar (All),36,0.14737,0.192,5.336,3,3.933
31/10/2013,12,West Coast,All combined,Solar (All),9,0.05052,0.025,2.756,0,
31/10/2013,13,Canterbury,All combined,Solar (All),357,0.13180,1.325,3.710,26,3.169
