STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,YEAR_HES_HES_003,Year,DECILE_HES_HES_003,Income group,NZHEC_LEV_HES_HES_003,Expenditure category,MEASURE_HES_HES_003,Measure,OBS_VALUE,Observation value,OBS_STATUS,Observation status
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,01,Food,AV_WKLY_AMT,,69.00,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,01,Food,PER_HHLD_REP,,99.1,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,01,Food,SAMPLING_ERROR,,15,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,01_1,Fruit and vegetables,AV_WKLY_AMT,,10.00,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,01_1,Fruit and vegetables,PER_HHLD_REP,,84.7,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,01_1,Fruit and vegetables,SAMPLING_ERROR,,17,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,01_2,"Meat, poultry and fish",AV_WKLY_AMT,,11.50,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,01_2,"Meat, poultry and fish",PER_HHLD_REP,,78.4,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,01_2,"Meat, poultry and fish",SAMPLING_ERROR,,18,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,01_3,Grocery food,AV_WKLY_AMT,,34.20,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,01_3,Grocery food,PER_HHLD_REP,,96.2,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,01_3,Grocery food,SAMPLING_ERROR,,16,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,01_4,Non-alcoholic beverages,AV_WKLY_AMT,,4.10,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,01_4,Non-alcoholic beverages,PER_HHLD_REP,,67.2,,,
DATAFLOW,STATSNZ:HES_HES_003(1.0),Household expenditure for group and subgroup by household income group,I,2007,2007,1,Income group 1,01_4,Non-alcoholic beverages,SAMPLING_ERROR,,26,,,
