STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,YEAR_HES_HES_006,Year,HHCOMP_HES_HES_006,Household composition,NZHEC_LEV_HES_HES_006,Expenditure category,MEASURE_HES_HES_006,Measure,OBS_VALUE,Observation value,OBS_STATUS,Observation status
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,01,Food,AV_WKLY_AMT,,157.60,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,01,Food,PER_HHLD_REP,,99.5,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,01,Food,SAMPLING_ERROR,,8,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,01_1,Fruit and vegetables,AV_WKLY_AMT,,19.40,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,01_1,Fruit and vegetables,PER_HHLD_REP,,92.1,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,01_1,Fruit and vegetables,SAMPLING_ERROR,,9,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,01_2,"Meat, poultry and fish",AV_WKLY_AMT,,24.20,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,01_2,"Meat, poultry and fish",PER_HHLD_REP,,90.8,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,01_2,"Meat, poultry and fish",SAMPLING_ERROR,,10,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,01_3,Grocery food,AV_WKLY_AMT,,65.90,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,01_3,Grocery food,PER_HHLD_REP,,99.3,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,01_3,Grocery food,SAMPLING_ERROR,,9,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,01_4,Non-alcoholic beverages,AV_WKLY_AMT,,7.70,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,01_4,Non-alcoholic beverages,PER_HHLD_REP,,85.9,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,01_4,Non-alcoholic beverages,SAMPLING_ERROR,,11,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,01_5,Restaurant meals and ready-to-eat food,AV_WKLY_AMT,,40.40,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,01_5,Restaurant meals and ready-to-eat food,PER_HHLD_REP,,86.2,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,01_5,Restaurant meals and ready-to-eat food,SAMPLING_ERROR,,14,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,02,"Alcoholic beverages, tobacco and illicit drugs",AV_WKLY_AMT,,31.70,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,02,"Alcoholic beverages, tobacco and illicit drugs",PER_HHLD_REP,,69.6,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,02,"Alcoholic beverages, tobacco and illicit drugs",SAMPLING_ERROR,,13,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,02_1,Alcoholic beverages,AV_WKLY_AMT,,24.10,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,02_1,Alcoholic beverages,PER_HHLD_REP,,66.2,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,02_1,Alcoholic beverages,SAMPLING_ERROR,,14,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,02_2,Cigarettes and tobacco,AV_WKLY_AMT,,7.60,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,02_2,Cigarettes and tobacco,PER_HHLD_REP,,18.4,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,02_2,Cigarettes and tobacco,SAMPLING_ERROR,,23,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,02_3,Illicit drugs,AV_WKLY_AMT,,,,s,Suppressed
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,02_3,Illicit drugs,PER_HHLD_REP,,,,s,Suppressed
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,03,Clothing and footwear,AV_WKLY_AMT,,32.20,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,03,Clothing and footwear,PER_HHLD_REP,,58.1,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,03,Clothing and footwear,SAMPLING_ERROR,,21,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,03_1,Clothing,AV_WKLY_AMT,,25.50,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,03_1,Clothing,PER_HHLD_REP,,53.3,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,03_1,Clothing,SAMPLING_ERROR,,22,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,03_2,Footwear,AV_WKLY_AMT,,6.70,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,03_2,Footwear,PER_HHLD_REP,,15.8,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,03_2,Footwear,SAMPLING_ERROR,,44,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,04,Housing and household utilities,AV_WKLY_AMT,,183.00,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,04,Housing and household utilities,PER_HHLD_REP,,99.5,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,04,Housing and household utilities,SAMPLING_ERROR,,10,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,04_1,Actual rentals for housing,AV_WKLY_AMT,,41.10,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,04_1,Actual rentals for housing,PER_HHLD_REP,,19.5,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,04_1,Actual rentals for housing,SAMPLING_ERROR,,20,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,04_2,Home ownership,AV_WKLY_AMT,,53.20,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,04_2,Home ownership,PER_HHLD_REP,,35.8,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,04_2,Home ownership,SAMPLING_ERROR,,21,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,04_3,Property maintenance,AV_WKLY_AMT,,,,s,Suppressed
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,04_3,Property maintenance,PER_HHLD_REP,,,,s,Suppressed
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,04_4,Property rates and related services,AV_WKLY_AMT,,29.40,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,04_4,Property rates and related services,PER_HHLD_REP,,81.5,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,04_4,Property rates and related services,SAMPLING_ERROR,,12,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,04_5,Household energy,AV_WKLY_AMT,,35.60,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,04_5,Household energy,PER_HHLD_REP,,97.4,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,04_5,Household energy,SAMPLING_ERROR,,8,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,04_6,Other housing expenses,AV_WKLY_AMT,,,,s,Suppressed
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,04_6,Other housing expenses,PER_HHLD_REP,,,,s,Suppressed
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,05,Household contents and services,AV_WKLY_AMT,,55.70,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,05,Household contents and services,PER_HHLD_REP,,94.8,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,05,Household contents and services,SAMPLING_ERROR,,13,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,05_1,"Furniture, furnishings and floor coverings",AV_WKLY_AMT,,19.00,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,05_1,"Furniture, furnishings and floor coverings",PER_HHLD_REP,,43.1,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,05_1,"Furniture, furnishings and floor coverings",SAMPLING_ERROR,,21,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,05_2,Household textiles,AV_WKLY_AMT,,,,s,Suppressed
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,05_2,Household textiles,PER_HHLD_REP,,,,s,Suppressed
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,05_3,Household appliances,AV_WKLY_AMT,,13.40,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,05_3,Household appliances,PER_HHLD_REP,,39.6,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,05_3,Household appliances,SAMPLING_ERROR,,19,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,05_4,"Glassware, tableware and household utensils",AV_WKLY_AMT,,3.10,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,05_4,"Glassware, tableware and household utensils",PER_HHLD_REP,,25.1,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,05_4,"Glassware, tableware and household utensils",SAMPLING_ERROR,,27,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,05_5,Tools and equipment for house and garden,AV_WKLY_AMT,,6.20,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,05_5,Tools and equipment for house and garden,PER_HHLD_REP,,41.8,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,05_5,Tools and equipment for house and garden,SAMPLING_ERROR,,28,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,05_6,Other household supplies and services,AV_WKLY_AMT,,9.30,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,05_6,Other household supplies and services,PER_HHLD_REP,,82.0,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,05_6,Other household supplies and services,SAMPLING_ERROR,,21,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,06,Health,AV_WKLY_AMT,,29.90,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,06,Health,PER_HHLD_REP,,78.5,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,06,Health,SAMPLING_ERROR,,17,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,06_1,"Medical products, appliances and equipment",AV_WKLY_AMT,,9.70,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,06_1,"Medical products, appliances and equipment",PER_HHLD_REP,,59.7,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,06_1,"Medical products, appliances and equipment",SAMPLING_ERROR,,16,,,
DATAFLOW,STATSNZ:HES_HES_006(1.0),Household expenditure for group and subgroup by household composition and number of dependent children,I,2007,2007,11,Couple only,06_2,Out-patient services,AV_WKLY_AMT,,,,s,Suppressed
